market,publisher,url,gptbot,chatgpt_user,oai_searchbot,google_extended,claudebot,perplexitybot,bytespider,meta_external,ccbot,error
CH,NZZ,nzz.ch,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
CH,Tages-Anzeiger,tagesanzeiger.ch,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
CH,20 Minuten,20min.ch,SELECTIVE,DEFAULT,SELECTIVE,SELECTIVE,SELECTIVE,SELECTIVE,SELECTIVE,SELECTIVE,SELECTIVE,
CH,Blick,blick.ch,DEFAULT,DEFAULT,DEFAULT,DEFAULT,ALLOW,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
CH,Watson,www.watson.ch,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
CH,SRF,srf.ch,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
CH,Le Temps,letemps.ch,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
CH,Republik,republik.ch,BLOCK,DEFAULT,DEFAULT,BLOCK,BLOCK,DEFAULT,BLOCK,BLOCK,BLOCK,
CH,Heidi.News,heidi.news,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
CH,Handelszeitung,handelszeitung.ch,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
CH,Cash,cash.ch,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
CH,RTS,rts.ch,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
DE,Spiegel,spiegel.de,BLOCK,BLOCK,BLOCK,DEFAULT,BLOCK,DEFAULT,BLOCK,BLOCK,BLOCK,
DE,Zeit,zeit.de,BLOCK,DEFAULT,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
DE,FAZ,faz.net,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
DE,Süddeutsche,sueddeutsche.de,BLOCK,BLOCK,DEFAULT,BLOCK,BLOCK,BLOCK,DEFAULT,DEFAULT,DEFAULT,
DE,Welt,welt.de,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,
DE,Bild,bild.de,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,BLOCK,BLOCK,DEFAULT,BLOCK,
DE,Handelsblatt,handelsblatt.com,BLOCK,DEFAULT,DEFAULT,BLOCK,BLOCK,DEFAULT,BLOCK,BLOCK,BLOCK,
DE,Manager Magazin,manager-magazin.de,BLOCK,BLOCK,BLOCK,SELECTIVE,BLOCK,DEFAULT,BLOCK,BLOCK,BLOCK,
AT,Der Standard,derstandard.at,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,DEFAULT,DEFAULT,BLOCK,
AT,Die Presse,diepresse.com,BLOCK,BLOCK,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,DEFAULT,BLOCK,
AT,Kurier,kurier.at,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
AT,Profil,profil.at,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,DEFAULT,
US_UK,NYT,nytimes.com,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
US_UK,Washington Post,washingtonpost.com,DEFAULT,DEFAULT,DEFAULT,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
US_UK,Guardian,theguardian.com,DEFAULT,DEFAULT,DEFAULT,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
US_UK,BBC,bbc.com,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
US_UK,Reuters,reuters.com,DEFAULT,DEFAULT,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
US_UK,Bloomberg,bloomberg.com,BLOCK,BLOCK,DEFAULT,BLOCK,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,
US_UK,FT,ft.com,DEFAULT,DEFAULT,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
US_UK,WSJ,wsj.com,DEFAULT,DEFAULT,DEFAULT,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,BLOCK,
